t,alpha,amplitude,sigma,q_true,q,dq_da,dq_dA,dq_ds,d2q_da2,d2q_dadA,d2q_dads,d2q_dA2,d2q_dAds,d2q_ds2
0,1.5,100,0.057730612246852296,0.14855864939562349,0.14855864939562349,-0.05851593039325536,0.0014855864939562348,3.8473417718136256,0.043185185201642766,-0.00058515930393255363,-0.76549239168927152,0,0.038473417718136255,26.834617461235055
0.007537688442211055,1.4996075421945552,101.18357474928895,0.058564021621630297,0.15359420525701808,0.15359420525701808,-0.059868163782255172,0.0015179756757714023,3.9157017096477742,0.043780903869090379,-0.00059167867838822222,-0.76727935054156093,0,0.03869898567381156,26.896890639719942
0.01507537688442211,1.4984310489103869,102.36449519487113,0.059320650818952721,0.15846386954732183,0.15846386954732183,-0.061203883626393847,0.0015480354711431383,3.9828136102491296,0.044398677090589471,-0.00059790148439534737,-0.76962868328882006,0,0.038908154655254774,26.98499315538513
0.022613065326633167,1.4964731585701949,103.54011298562379,0.059993716329084873,0.16312373225731,0.16312373225731,-0.062516825355479089,0.0015754641129275106,4.0483767819693428,0.045038530761071338,-0.00060379328892715568,-0.7725980332567689,0,0.039099597877891509,27.095878334413371
0.03015075376884422,1.4937382619702431,104.70779166224294,0.060577183827081028,0.16753107704403,0.16753107704403,-0.063801028238871557,0.0015999867286327345,4.1120988964004148,0.045700587317995207,-0.00060932455193664305,-0.77623887177805939,0,0.039272138502021478,27.226721071750923
0.037688442211055273,1.4902324924334898,105.86491256980922,0.061065822273131266,0.17164503980378637,0.17164503980378637,-0.06505085295853355,0.0016213591041375542,4.173699022910764,0.046385057014012687,-0.00061447037908464583,-0.78059673021902731,0,0.039424762384407126,27.374976547552428
0.045226130653266333,1.4859637120548999,107.00888073042536,0.061455250811107837,0.1754272649596012,0.1754272649596012,-0.066261000389325836,0.00163937108548527,4.2329107217163155,0.047092231747399869,-0.00061921029298726349,-0.78571157101160916,0,0.039556630186421436,27.538425060741403
0.052763819095477386,1.4809414940697834,108.1371306627553,0.06174197804484511,0.17884254419182657,0.17884254419182657,-0.067426532435595793,0.0016538495435908926,4.2894850846132293,0.047822480688495518,-0.00062352803354730505,-0.79161821945574373,0,0.039667088060536253,27.715208011473973
0.06030150753768844,1.4751771013847055,109.24713213541366,0.061923433340024259,0.181859422221857,0.181859422221857,-0.068542895505106061,0.001664660835182741,4.3431936204838237,0.048576246658236441,-0.00062741139438009198,-0.79834678669047032,0,0.039755676287230701,27.903859365708648
0.0678391959798995,1.4686834613191118,110.33639584130336,0.061997989871027649,0.18445075468090855,0.18445075468090855,-0.069605946960918083,0.0016717127043573523,4.3938308915547086,0.049354042004778394,-0.00063085209943808743,-0.80592302330275989,0,0.039822135371127658,28.103336135657372
0.075376884422110546,1.4614751366143131,111.4024789801754,0.061964979206137819,0.1865942040546614,0.1865942040546614,-0.070611984687024398,0.0016749555823427119,4.4412168158704839,0.050156442594016741,-0.00063384572168802592,-0.81436855244124684,0,0.039866409226502211,28.313050526352477
0.082914572864321606,1.4535682927748501,112.44299073689207,0.061824697300318469,0.1882726611600975,0.1882726611600975,-0.071557779734848823,0.001674383257918148,4.4851985617464241,0.050984078484547182,-0.00063639164403131627,-0.82370094116163273,0,0.039888645191245783,28.532905425271611
0.090452261306532666,1.4449806618154726,113.45559764310721,0.061578401841849532,0.1894745815281188,0.1894745815281188,-0.072440611878946001,0.0016700329068305782,4.5256519716653258,0.051837619900926162,-0.000638493061460216,-0.83393357934336954,0,0.039889190711431363,28.763333827284011
0.097989949748743713,1.4357315024950397,114.43802881033972,0.061228300976604907,0.19019422835668362,0.19019422835668362,-0.073258307789302604,0.0016619844848244989,4.5624824670607707,0.052717757254359274,-0.00064015702254636845,-0.8450753472864545,0,0.039868586644586985,29.005341557706473
0.10552763819095477,1.4258415571265173,115.38808102270448,0.060777533511064588,0.19043181626639749,0.19043181626639749,-0.074009281408179362,0.0016503595048861846,4.5956254027187162,0.053625174190532816,-0.00064139450758017938,-0.85713006650880175,0,0.039827557248434113,29.260551240706452
0.11306532663316583,1.4153330050599358,116.30362367787967,0.060230140771549839,0.19019355281975495,0.19019355281975495,-0.074692575982451492,0.0016353192343045522,4.6250458611820493,0.054560512973450159,-0.00064222053982878279,-0.87009574385192823,0,0.039766997062721,29.531243814256005
0.12060301507537688,1.4042294129426236,117.18260356522961,0.059591030371975565,0.18949157753155454,0.18949157753155454,-0.075307907028509813,0.0016170623605070713,4.6507379044401445,0.055524331944561411,-0.00064265432527781064,-0.88396363727758975,0,0.039687955062811982,29.820391976073246
0.12814070351758794,1.3925556818682661,118.02304947036791,0.058865932214957742,0.18834380077210477,0.18834380077210477,-0.075855705278802768,0.0015958221857281555,4.6727233328236366,0.056517055329955018,-0.00064271941471778272,-0.89871719305411646,0,0.039591616669732113,30.131677733805649
0.135678391959799,1.3803379915333132,118.82307659583442,0.058061347120745101,0.18677364742131952,0.18677364742131952,-0.076337158365255425,0.0015718634188930537,4.6910500392500643,0.05753891630555711,-0.00064244388002937438,-0.91433092833664309,0,0.03947928444241712,30.46948374153952
0.14321608040201006,1.3676037415259732,119.58089078797227,0.057184488544539086,0.18480971225901424,0.18480971225901424,-0.076754249632551091,0.0015454786382775704,4.705790089659371,0.058589894970729771,-0.00064186049398681387,-0.93076935958457607,0,0.039352358547012023,30.838845422643775
0.15075376884422109,1.3543814898794571,120.29479256052552,0.056243217904731552,0.18248533578752157,0.18248533578752157,-0.077109792054844029,0.0015169845003532077,4.7170377051715056,0.059669653722812181,-0.00064100689991253583,-0.9479861036076459,0,0.039212318378604456,31.245348227393869
0.15829145728643215,1.3407008890272745,120.96318090593444,0.055245974101870758,0.17983811042570608,0.17983811042570608,-0.07740745478300301,0.0014867177688188858,4.7249073639289341,0.060777473464828174,-0.00063992575429376315,-0.96592330001568549,0,0.039060706973332665,31.694952187945034
