alpha,amplitude,sigma,q,dq_da,dq_dA,dq_ds,d2q_da2,d2q_dadA,d2q_dads,d2q_dA2,d2q_dAds,d2q_ds2
1.1499999999999999,90,0.041000000000000002,0.096059308513262748,-0.055719520032478695,0.0010673256501473639,3.2896257637490058,0.054181473167367981,-0.00061910577813865215,-0.88561436823673012,0,0.036551397374988956,31.02127275658134
0.92500000000000004,110,0.047,0.16074511976039288,-0.091514384369713195,0.0014613192705490261,4.4517580598804631,0.086594134082667432,-0.00083194894881557439,-0.995745660102617,0,0.040470527817095113,27.516522402542947
1.375,76.666666666666671,0.053000000000000005,0.10569446747628476,-0.046370728105562017,0.0013786234888211056,2.9271712334227438,0.037118986365743366,-0.00060483558398559151,-0.62791635383288924,0,0.038180494348992317,21.085565814369811
0.8125,96.666666666666671,0.059000000000000004,0.20039660190158859,-0.098772831205261494,0.0020730682955336752,4.2471391057769727,0.085589106347568569,-0.0010217879090199465,-0.68307589416452053,0,0.043935921783899712,18.556294261876207
1.2625,116.66666666666666,0.036200000000000003,0.097470960756423947,-0.059333715597826887,0.0008354653779122053,3.9200788644111437,0.059766742304899971,-0.00050857470512423052,-1.1700726531948056,0,0.033600675980666947,48.748131869094266
1.0375000000000001,83.333333333333329,0.042200000000000001,0.09886629969905332,-0.058619879243679111,0.0011863955963886399,3.1714102754362092,0.057367282463825608,-0.00070343855092414942,-0.82303802219565847,0,0.038056923305234511,26.126527331281803
1.4875,103.33333333333333,0.0482,0.11759752571138939,-0.053073081760298679,0.0011380405714005424,3.702864802299608,0.043928212633010673,-0.00051361046864805175,-0.87551991720872746,0,0.035834175506125242,32.286485828315556
0.75624999999999998,123.33333333333333,0.054200000000000005,0.236964855926385,-0.12807384915727499,0.0019213366696733919,5.3567248607889004,0.11817771679806108,-0.001038436614788716,-0.94027625547760108,0,0.043432904276666753,23.425307697140742
1.20625,72.222222222222229,0.060200000000000004,0.12850604580868466,-0.05420144145830199,0.0017793144804279413,2.9845246412712028,0.041384477533338071,-0.00075048149711495066,-0.53804933829465917,0,0.041324187340678192,16.872762979956143
0.98124999999999996,92.222222222222214,0.037400000000000003,0.096410540604825276,-0.06392709509551732,0.0010454155005342502,3.4153043466086244,0.066586446303262284,-0.00069318536850560952,-1.01496105746655,0,0.037033420625876654,32.973157990292407
1.4312500000000001,112.22222222222223,0.043400000000000001,0.1118853006809095,-0.055683853389015311,0.00099699772883978769,3.8993419451830293,0.049568716812829629,-0.0004961927529714235,-1.0035933259030836,0,0.034746611392720061,38.952122434345767
0.86875000000000002,78.888888888888886,0.049400000000000006,0.12688597454543471,-0.07090704835443766,0.0016084137618435387,3.2766916794766119,0.066192685929946385,-0.00089882173970413958,-0.67579261795790402,0,0.041535528331393672,17.759867963748146
1.3187500000000001,98.888888888888886,0.055400000000000005,0.14901893958655624,-0.06450585870792791,0.0015069330969427037,3.8839637199568662,0.050792109765178693,-0.00065230643637230478,-0.78875986042591451,0,0.039276037617541344,25.631397518299025
1.09375,118.88888888888889,0.061400000000000003,0.2280593971271794,-0.098374424080314965,0.0019182566113501072,5.0434923293513769,0.076129688377370733,-0.00082744842684377077,-0.85818852425258929,0,0.042421898097348039,26.144128486259053
1.5437500000000002,85.555555555555557,0.038600000000000002,0.067253695067979666,-0.034857586062685901,0.00078608215014521691,2.7330241008413805,0.032120574008602965,-0.0004074263306028222,-0.75649502150283221,0,0.031944437542301848,34.477368118138259
0.72812499999999991,105.55555555555556,0.044600000000000001,0.1626438629735785,-0.10389254789126724,0.0015408365965917962,4.4051016947441362,0.1053251437827792,-0.00098424519054884745,-1.0149543302904427,0,0.041732542371260235,23.317265702874341
1.1781250000000001,125.55555555555554,0.050600000000000006,0.17740552155131295,-0.086674451172788033,0.0014129643309396607,4.9191349671963396,0.074507467887523965,-0.00069032748721689586,-1.0723817006668004,0,0.039178951066165542,33.377701223177944
0.953125,74.444444444444443,0.056600000000000004,0.13662229029934292,-0.066223399330114466,0.0018352247950658004,3.1582020109910607,0.05599736523444071,-0.00088956805070303008,-0.56363896163855864,0,0.042423609102864988,15.813272265309047
1.403125,94.444444444444443,0.062600000000000003,0.16417826765487395,-0.062849265773401872,0.00173835812811043,3.8203957993482458,0.044858800193776548,-0.00066546281407131385,-0.68664526795187497,0,0.040451249640157894,23.401249714313042
0.84062499999999996,114.44444444444444,0.039800000000000002,0.14237268456475868,-0.095059351873834796,0.0012440331660998332,4.5039567682688872,0.098694153749149735,-0.00083061569598496426,-1.2402138554888265,0,0.039354962052834938,33.566935301938273
1.2906250000000001,81.111111111111114,0.0458,0.0939906232685222,-0.047481663318854513,0.0011587885060502735,2.9852230359548222,0.042297297994219316,-0.00058539036968450748,-0.73079645663016635,0,0.036804119621360813,25.398096127726756
1.065625,101.11111111111111,0.051800000000000006,0.15600272295879353,-0.078000637186193308,0.001542884073218837,4.0885665169032777,0.067716006372741736,-0.00077143487327004383,-0.84437721651200381,0,0.040436372145197248,24.726147538388911
1.515625,121.1111111111111,0.057800000000000004,0.17914244207163726,-0.070122268030069781,0.0014791577785731515,4.6473507384258825,0.051543204475524587,-0.00057899120391800732,-0.92472518786761415,0,0.038372620775993529,32.636647731251422
0.78437499999999993,87.777777777777771,0.063800000000000009,0.20330908795505695,-0.09478166831313857,0.0023161794830322945,3.9536217589775564,0.080296942825201625,-0.0010797911579977807,-0.57885980701939121,0,0.045041260545313939,16.671845670961549
1.234375,107.77777777777779,0.03524,0.088123210791627771,-0.055336846856984201,0.00081763803827283497,3.6084036958735242,0.056632695122222007,-0.00051343466155964713,-1.1049676902514933,0,0.033480034291610013,46.072655613891115
1.0093749999999999,127.77777777777777,0.041240000000000006,0.14947403296169121,-0.091170210261133422,0.0011697967797001923,4.859953938266969,0.090661257261557313,-0.00071350599334800088,-1.2913471586363086,0,0.038034422125567582,40.717655133513325
1.4593750000000001,70.740740740740748,0.047240000000000004,0.079100132401209999,-0.036610336100095696,0.0011181694109071571,2.5305477325920651,0.030860497900995716,-0.00051752831136260926,-0.60825382174280329,0,0.035772140722505626,22.424251620280668
0.89687499999999998,90.740740740740733,0.053240000000000003,0.15822326582925766,-0.082333319049425799,0.0017436849703632478,3.8242154322914312,0.073261532574669941,-0.00090734678136101903,-0.72195389243372809,0,0.042144414968109653,19.404024316322502
1.346875,110.74074074074073,0.059240000000000001,0.18168643110208146,-0.07396629857682184,0.0016406467022595985,4.4333280121136811,0.055399263183141069,-0.00066792309751645147,-0.84028716346710619,0,0.040033396764906144,27.679731862396153
1.121875,77.407407407407405,0.03644,0.07127437135209079,-0.045637005783586419,0.00092076939067294332,2.7208326763157804,0.046990085846759441,-0.00058956897423771953,-0.82090125732547825,0,0.035149513043313908,30.735045390048288
1.5718750000000001,97.407407407407405,0.042440000000000005,0.087604398089388621,-0.041926748490764686,0.00089936074084163238,3.2308516066237378,0.03655635607200701,-0.00043042669553256522,-0.84059216703284023,0,0.0331684385470878,35.451169403824537
0.71406249999999993,117.4074074074074,0.048440000000000004,0.20159995037780523,-0.12133234857389817,0.0017170973691484988,5.0088380903533318,0.11938047646230197,-0.0010334300982634858,-1.0162994754299297,0,0.042662027898908508,23.249801088346551
1.1640625,84.074074074074076,0.054440000000000009,0.13246179953171414,-0.06142581377107708,0.0015755368226239128,3.3861277750282617,0.050575155063179819,-0.00073061540608770079,-0.67819494770767119,0,0.040275528601657735,20.654972160996369
0.93906250000000002,104.07407407407408,0.060440000000000008,0.20946567157041479,-0.096614609550530417,0.0020126594777228465,4.5091008163567379,0.078905652763188325,-0.00092832542984495425,-0.73859532737424671,0,0.043325879730118123,21.306041274948434
1.3890625000000001,124.07407407407408,0.03764,0.10199442940929866,-0.057325290588735575,0.00082204465494061603,4.0902922577015488,0.055348250928801149,-0.00046202473011816732,-1.1693995351823236,0,0.03296653461431099,50.697543534956047
0.82656249999999998,72.962962962962962,0.043640000000000005,0.10284494338825848,-0.064389152574047467,0.0014095499855243548,2.9585278546417726,0.064460150907848526,-0.00088249092360369644,-0.71547189972526393,0,0.04054835130727303,18.540391758632367
1.2765625,92.962962962962962,0.049640000000000004,0.1218846657968088,-0.058255976040191747,0.0013111099508023257,3.5391403968754234,0.049621403177020608,-0.00062665790959568802,-0.80058458848917768,0,0.038070434548062325,26.331019105433924
1.0515625,112.96296296296296,0.055640000000000002,0.19331043474976584,-0.091720386469249862,0.0017112727010635011,4.6827951665792877,0.07641286950263447,-0.00081195096218680222,-0.88417387616096244,0,0.04145425229430845,25.7055029199255
1.5015625000000001,79.629629629629633,0.06164,0.13035822378127104,-0.048872484065563389,0.0016370567637647992,3.1445674634980354,0.034558929360932737,-0.00061374747431172628,-0.58272916158625587,0,0.039489916983463692,20.566216647133981
0.77031249999999996,99.629629629629633,0.038840000000000006,0.12615466562225355,-0.087987479931977211,0.0012662364207438087,3.9711816746850488,0.09324024220890588,-0.00088314570935441798,-1.1325823554267174,0,0.03985944431840012,27.861644835023345
1.2203125000000001,119.62962962962962,0.044840000000000005,0.13942479122199095,-0.07353927967354229,0.001165470391019739,4.4435209331976102,0.067284350277371285,-0.00061472462885004417,-1.1029303756410105,0,0.037143983032921199,37.539539102271306
0.99531250000000004,86.296296296296291,0.050840000000000003,0.13458358945417631,-0.070103431834678445,0.0015595523241471077,3.5204090027533081,0.062521614571323117,-0.0008123573646078619,-0.72824281769488031,0,0.04079443908769928,20.629621864170105
1.4453125,106.2962962962963,0.056840000000000009,0.15771293943987563,-0.064044577064314379,0.0014837105800963909,4.1091253859022565,0.048289370047128882,-0.0006025099584447695,-0.82659043547943611,0,0.038657277149603105,28.312191456079209
0.8828125,126.29629629629629,0.062840000000000007,0.27426617353833477,-0.12489739328150042,0.0021716089986906274,5.5820746718771268,0.10181719302153437,-0.00098892364181833161,-0.8553690274905863,0,0.044198245202546171,24.991772121287049
1.3328125,75.18518518518519,0.040040000000000006,0.069944696578308763,-0.038409977759235915,0.00093029892000706226,2.589292703765842,0.036440735541998927,-0.0005108716253691474,-0.71058372162287398,0,0.03443886847373287,28.242285280654489
1.1078125000000001,95.18518518518519,0.046040000000000005,0.12225401730340635,-0.065991590320951796,0.001284380726533841,3.6685888235644493,0.060862072645142429,-0.00069329686329404621,-0.87385185169686042,0,0.038541594644451414,27.446072013187059
1.5578125,115.18518518518519,0.052040000000000003,0.14289524540274745,-0.059469578030956469,0.0012405696546219233,4.194871198526962,0.046258821354293371,-0.00051629537197293407,-0.92821558056043785,0,0.036418495935764621,34.060455187075867
0.7421875,81.851851851851848,0.058040000000000008,0.17226557680230881,-0.088420329544656118,0.0021046020695304696,3.6222047093516396,0.079667663415211323,-0.0010802483700025859,-0.5816437037188894,0,0.044253179707010981,15.097559939699579
1.1921875,101.85185185185185,0.06404,0.19868311870198532,-0.080098980061736519,0.0019507069836194925,4.3091400459500795,0.058864769444217917,-0.00078642634969704943,-0.71926628030612638,0,0.042307920451146237,23.04219656449634
0.96718749999999998,121.85185185185185,0.035480000000000005,0.11996313797873265,-0.08306954052611773,0.00098449991654279089,4.4459850437235007,0.088371900045716101,-0.00068172571252437077,-1.4069917500542151,0,0.036486807349706545,45.898741310352641
1.4171875,88.518518518518519,0.041480000000000003,0.083005007749943696,-0.042939453601782654,0.00093771347667300409,3.0264297010546133,0.039284532369494848,-0.00048509006161009699,-0.80620469802019035,0,0.034189791601872195,32.354621241473374
0.85468749999999993,108.51851851851852,0.047480000000000001,0.16728931122259599,-0.097009217597825201,0.0015415738576826251,4.4730070917468829,0.092732657040924732,-0.0008939415956113585,-0.96898036508707852,0,0.041218836681626563,25.298627994305619
1.3046875,128.5185185185185,0.053480000000000007,0.18519666098395307,-0.08277451792796657,0.0014410114831604421,4.9975728533962194,0.066879866075204408,-0.00064406685419455265,-1.0514382071835806,0,0.038886013556685285,34.140171959696332
1.0796874999999999,71.481481481481481,0.059480000000000005,0.13214895157494125,-0.058793383127100522,0.0018487159028618726,3.0094469386929301,0.046612620612093716,-0.00082249810592316798,-0.52940609003088568,0,0.042101071163061721,15.834618955124073
1.5296875000000001,91.481481481481481,0.036680000000000004,0.066875899367208766,-0.036193505881249574,0.00073103209834600663,2.86103183188315,0.034275666871206006,-0.0003956375136816756,-0.8170279603440237,0,0.031274437028682205,38.915530555399592
0.79843750000000002,111.48148148148148,0.042680000000000003,0.15558877977055824,-0.10013325094491708,0.0013956468617292602,4.5243475718565973,0.10178320156589925,-0.00089820524103414014,-1.1246978053742547,0,0.040583848651205352,28.374223941860016
1.2484375000000001,78.148148148148152,0.048680000000000001,0.10099066064108553,-0.049511490681059915,0.0012922975532271609,2.9728375859588918,0.042933556182203986,-0.00063355935942588512,-0.68309545349485368,0,0.038041049678146956,22.381760515025931
1.0234375,98.148148148148152,0.054680000000000006,0.16630965872398337,-0.080847130647546173,0.0016944757681311515,4.0689760905554113,0.068553525670642587,-0.00082372548206933853,-0.77723719482217091,0,0.041457492243394754,22.279377048666248
1.4734375000000002,118.14814814814814,0.060680000000000005,0.19098667538024375,-0.073137371595901599,0.0016165016411493986,4.6608617184472969,0.052543984793786698,-0.00061903104485559344,-0.876211016599307,0,0.039449299811309409,30.485189555924222
0.91093749999999996,84.81481481481481,0.037880000000000004,0.094499128683498912,-0.063740380199482111,0.0011141818665740047,3.2211721544281802,0.06674616190542941,-0.00075152413335633937,-0.94635802429816196,0,0.037978885663563701,28.332638299338338
1.3609375000000001,104.81481481481481,0.043880000000000002,0.11005864558232913,-0.055852150506825682,0.0010500294808208079,3.7255476983437354,0.050199199713803981,-0.00053286504017112846,-0.95011242724597422,0,0.035544094648509141,35.332339185994783
1.1359375,124.81481481481481,0.049880000000000008,0.17651601103614964,-0.088587956730370329,0.0014142232338207835,4.9114996904129882,0.077513829069041196,-0.0007097551429436199,-1.0779356032725593,0,0.039350294255534324,33.033455123542808
1.5859375,73.703703703703709,0.055880000000000006,0.10077791554633735,-0.039458401061982895,0.0013673385526387478,2.749415872501948,0.029192724606030184,-0.00053536524053946638,-0.56874593932960094,0,0.037303632440981199,20.76197075450645
0.70703125,93.703703703703695,0.061880000000000004,0.21696300922128012,-0.1069960457330736,0.002315415513428681,4.2352942566563039,0.095997325955293047,-0.0011418550335150143,-0.63172165977699424,0,0.045198792462340008,17.105883401868059
